epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,9426.84,1.36278,5.10996,1.48975,0.6372,0.53304,0.5749,0.32632,1.53325,3.89926,1.49028,0.0004456,0.0004456,0.0004456
58,9596.83,1.36018,5.10465,1.4844,0.62029,0.54689,0.5748,0.32847,1.52329,3.86052,1.48154,0.0004357,0.0004357,0.0004357
59,9767.41,1.3694,5.17934,1.5025,0.59641,0.57445,0.58086,0.32543,1.51908,3.84564,1.47819,0.0004258,0.0004258,0.0004258
60,9932.9,1.36219,5.05127,1.48477,0.57961,0.59042,0.58317,0.32781,1.51456,3.83159,1.47225,0.0004159,0.0004159,0.0004159
61,10128,1.3467,4.94945,1.47926,0.56715,0.60082,0.58847,0.33433,1.50381,3.79948,1.46599,0.000406,0.000406,0.000406
62,10265.7,1.35586,5.0412,1.48808,0.58633,0.59345,0.58335,0.33484,1.49472,3.77249,1.46278,0.0003961,0.0003961,0.0003961
63,10471.4,1.34402,5.01377,1.47778,0.56095,0.60708,0.58334,0.33565,1.49177,3.78899,1.46318,0.0003862,0.0003862,0.0003862
64,10633.5,1.35328,4.8831,1.47348,0.58483,0.60171,0.58516,0.33457,1.48651,3.76294,1.46003,0.0003763,0.0003763,0.0003763
65,10811.1,1.33692,4.81804,1.46556,0.69498,0.52764,0.58798,0.33354,1.48505,3.74117,1.45831,0.0003664,0.0003664,0.0003664
66,10960.8,1.32718,4.74845,1.45843,0.71721,0.52383,0.59055,0.33411,1.48159,3.7137,1.45564,0.0003565,0.0003565,0.0003565
67,11100.3,1.33793,4.75815,1.46302,0.79128,0.52571,0.59252,0.33783,1.47757,3.69519,1.45412,0.0003466,0.0003466,0.0003466
68,11237.4,1.32926,4.69889,1.45887,0.80298,0.51944,0.59274,0.33896,1.48009,3.6813,1.45353,0.0003367,0.0003367,0.0003367
69,11409.6,1.30839,4.60848,1.43749,0.56758,0.61073,0.59603,0.3427,1.47736,3.67286,1.44926,0.0003268,0.0003268,0.0003268
70,11548.6,1.31885,4.72944,1.45423,0.77679,0.53473,0.60004,0.34565,1.47476,3.66436,1.4459,0.0003169,0.0003169,0.0003169
71,11716.2,1.31203,4.62017,1.44013,0.75969,0.53896,0.6003,0.34998,1.47134,3.65251,1.444,0.000307,0.000307,0.000307
72,11894.7,1.31411,4.57579,1.44582,0.58577,0.61183,0.60541,0.35401,1.46663,3.64679,1.44157,0.0002971,0.0002971,0.0002971
73,12034.7,1.31328,4.60729,1.44377,0.60728,0.60985,0.60517,0.35307,1.46376,3.64196,1.43912,0.0002872,0.0002872,0.0002872
74,12171.7,1.30958,4.60078,1.44547,0.63108,0.59792,0.60819,0.3534,1.46094,3.63012,1.43659,0.0002773,0.0002773,0.0002773
75,12333.1,1.29125,4.41912,1.42723,0.64022,0.58796,0.60866,0.35473,1.4572,3.61959,1.43407,0.0002674,0.0002674,0.0002674
76,12473.5,1.29242,4.4805,1.43235,0.6502,0.58947,0.60967,0.35339,1.45768,3.61806,1.43459,0.0002575,0.0002575,0.0002575
77,12640,1.29624,4.50217,1.42938,0.6563,0.58588,0.60989,0.35566,1.45356,3.60946,1.43082,0.0002476,0.0002476,0.0002476
